sec,sg_1,sg_2,sg_3,sg_4,sg_5,sg_5A,sg_6,sg_7,sg_8,sg_9,sg_10,sg_11,sg_12,sg_13,sg_14,sg_15,sg_16,sg_17,sg_18,sg_19,sg_20,sg_21,sg_22,sg_23,sg_24,sg_25,sg_26,sg_27,sg_28,sg_29,sg_30,sg_31,sg_32,sg_33,sg_34,sg_35,sg_36,sg_37,sg_38,sg_39,sg_40,sg_41,sg_42,sg_43,sg_44,sg_45,sg_46,sg_47,sg_48,sg_49,sg_50,sg_51,sg_52,sg_53,sg_53A,sg_54,sg_55,sg_55A,sg_56,sg_57,sg_58,sg_59,sg_60,sg_61,sg_62,sg_63,sg_64,sg_65,sg_66,sg_67,sg_68,sg_69,sg_70,sg_71,sg_72,sg_73,sg_74,sg_75,sg_76,sg_77,sg_78,sg_79,sg_80,sg_81,sg_81A,sg_81B,sg_82,sg_83,sg_84,sg_85,sg_85A,sg_85B,sg_86,sg_87,sg_88,sg_89,sg_90,sg_91,sg_92,sg_93,sg_93A,sg_93B,sg_93C,sg_93D,sg_93E,sg_93F,sg_93G,sg_93H,sg_93I,sg_93J,sg_93K,sg_93L,sg_94,sg_95,sg_96,sg_97,sg_98,sg_99,sg_100,sg_101,sg_102,sg_103,sg_104,sg_105,sg_105A,sg_106,sg_107,sg_108,sg_109,uk_1,uk_2,uk_3,uk_4,uk_5,uk_5A,uk_6,uk_6A,uk_7,uk_8,uk_9,uk_10,uk_10A,uk_10B,uk_11,uk_11A,uk_12,uk_13,uk_14,uk_15,uk_16,uk_17,uk_18,uk_19,uk_20,uk_21,uk_21A,uk_21B,uk_21C,uk_21D,uk_21E,uk_21F,uk_22,uk_23,uk_24,uk_25,uk_26,uk_27,uk_28,uk_29,uk_30,uk_31,uk_32,uk_33,uk_34,uk_35,uk_36,uk_37,uk_38,uk_39,uk_40,uk_41,uk_42,uk_43,uk_44,uk_45,uk_46,uk_47,uk_48,uk_49,uk_50,uk_51,uk_52,uk_53,uk_54,uk_55,uk_56,uk_57,uk_58,uk_59,uk_60,uk_60A,uk_62,uk_63,uk_64,uk_65,uk_66,uk_67,uk_68,uk_69,uk_70,uk_71,uk_72,uk_73,uk_74,uk_75,uk_76,uk_77,uk_78,uk_79,uk_80,uk_81,uk_82,uk_83,uk_83A,uk_84,uk_85,uk_86,uk_87,uk_88,uk_89,uk_90,uk_91,uk_92,uk_92A,uk_93,uk_94,uk_95,uk_96,uk_97,uk_98,uk_99,uk_99A,uk_100,uk_101,uk_102,uk_103,uk_104,uk_105,uk_106,uk_107,uk_108,uk_109,uk_110
sg_10,36,33,67,36,31,31,30,31,31,46,0,22,24,32,26,35,32,32,29,32,34,34,29,31,36,33,37,43,34,44,34,34,33,45,45,43,35,35,37,48,35,46,36,36,49,46,34,50,39,50,33,37,51,37,37,47,34,35,62,70,40,60,36,33,37,35,32,35,38,31,35,34,34,36,34,34,35,36,34,42,37,30,33,33,36,42,44,50,34,35,41,32,39,34,46,29,39,32,34,35,36,31,30,41,32,34,35,33,29,32,34,35,48,33,53,33,41,36,32,35,28,32,34,33,30,33,41,35,33,39,36,31,34,31,55,35,59,46,55,37,37,62,72,35,42,44,34,34,32,45,38,38,45,49,37,37,35,38,37,36,40,35,35,37,48,35,49,36,36,49,46,31,34,31,0,22,24,34,26,35,31,29,32,34,37,29,31,36,36,33,36,59,34,41,29,42,39,48,38,39,30,38,38,34,30,33,46,32,36,35,33,37,28,47,39,35,39,32,42,36,35,33,36,35,58,57,37,50,42,55,45,61,43,38,44,33,37,47,44,35,34,49,33,44,29,32,34,33,35,37,39,37,36
sg_11,51,47,60,48,41,43,42,37,37,48,22,0,38,48,37,50,48,44,43,45,43,44,43,42,49,44,44,47,46,47,41,46,45,50,51,48,45,45,46,49,48,49,46,51,53,50,46,48,47,51,44,44,52,47,47,50,45,46,66,69,49,60,49,49,43,49,46,50,50,43,43,48,46,48,46,46,45,47,46,55,47,42,47,46,44,55,50,51,48,50,49,44,46,45,49,38,45,46,47,48,47,43,43,49,44,45,45,42,38,46,48,48,51,45,54,46,46,51,41,44,43,47,45,45,44,48,47,47,47,52,48,37,47,37,56,46,59,48,55,44,46,58,71,42,50,47,41,46,46,50,44,43,51,52,47,47,49,49,48,48,47,45,45,45,49,48,50,46,51,53,50,41,50,44,22,0,38,43,37,50,44,43,45,43,45,43,42,49,49,49,48,58,48,47,46,48,48,54,43,44,42,50,50,43,38,45,50,44,48,45,47,45,43,51,52,42,41,45,55,45,48,47,46,45,57,55,45,52,47,55,47,59,49,49,48,44,44,49,47,48,45,52,45,45,42,48,46,47,46,45,54,50,51
sg_12,22,18,69,22,14,24,23,32,30,47,24,38,0,25,31,19,15,27,13,17,26,27,13,25,19,22,37,43,26,43,33,19,33,51,49,47,29,31,34,46,21,48,29,19,53,44,25,52,39,52,21,38,49,41,23,51,27,31,71,74,42,65,22,20,35,17,20,19,23,26,28,23,22,21,28,29,37,21,23,26,31,23,15,19,29,26,45,55,24,19,41,21,33,31,51,24,40,26,22,21,30,27,17,41,21,31,39,29,24,26,21,21,46,13,58,25,45,20,24,27,35,19,31,29,17,18,41,22,17,23,22,32,25,30,58,25,61,47,60,37,29,70,80,34,42,43,33,19,32,51,38,44,49,51,32,22,20,23,22,29,37,29,31,33,46,21,51,29,19,53,44,14,18,18,24,38,0,36,31,19,27,13,17,26,30,13,25,19,22,20,33,67,22,45,19,39,48,49,35,40,26,23,23,30,26,28,38,26,21,37,23,38,35,50,24,23,37,34,26,31,24,15,31,25,62,64,30,51,45,59,49,65,43,23,44,19,38,48,41,22,27,49,29,46,24,18,23,17,31,35,21,22,22
sg_13,33,32,68,30,24,29,27,36,35,45,32,48,25,0,40,31,26,27,26,31,27,28,26,33,29,28,34,43,30,44,36,26,33,51,49,37,30,33,35,44,27,45,30,30,52,44,32,47,43,53,27,39,46,43,31,49,25,29,69,71,38,63,31,29,34,27,30,32,34,25,27,33,30,33,30,32,39,33,29,35,33,28,26,32,31,35,41,51,29,30,35,24,31,33,45,31,40,28,29,31,31,31,29,35,24,33,37,34,31,28,28,31,48,27,55,30,39,32,27,29,37,31,32,31,26,28,40,30,25,34,30,36,30,35,53,30,47,45,41,34,31,71,75,33,33,44,36,26,33,51,40,41,49,48,26,30,30,29,30,34,38,30,33,33,44,27,48,30,30,52,44,24,30,28,32,48,25,21,40,31,27,26,31,27,31,26,33,29,31,29,32,65,31,43,30,37,45,46,33,36,30,34,34,27,33,30,37,27,32,39,32,39,37,45,35,32,37,34,35,32,31,26,35,30,57,62,35,45,43,57,50,62,45,34,48,27,39,42,38,32,33,45,31,45,26,28,30,25,31,35,35,33,33
sg_14,44,40,66,42,35,34,37,36,36,48,26,37,31,40,0,42,38,35,35,37,38,39,36,36,42,41,41,46,40,47,35,40,39,50,49,45,38,40,40,46,40,44,40,43,51,46,41,48,44,51,36,38,52,31,41,49,38,42,63,68,47,57,43,42,40,40,40,43,44,35,38,41,42,42,39,39,40,42,37,49,40,35,39,36,40,49,44,53,39,42,46,35,41,40,48,34,42,37,42,42,35,38,37,46,35,40,42,35,34,37,42,42,50,40,53,38,46,43,36,39,37,39,42,40,39,38,44,41,38,45,42,36,41,36,51,40,58,48,56,41,41,62,66,39,40,47,35,40,38,50,41,43,49,50,38,42,42,43,42,41,43,38,40,41,46,40,46,40,43,51,46,35,42,37,26,37,31,35,0,42,35,35,37,38,41,36,36,42,43,42,43,60,41,43,39,43,46,51,39,44,40,43,44,38,34,39,45,40,42,40,41,39,37,49,45,41,39,39,49,41,42,39,40,41,59,58,42,49,45,55,48,59,46,44,46,36,38,49,45,42,42,50,40,49,36,39,40,38,36,41,47,44,44
sg_15,10,8,74,14,17,29,30,33,32,52,35,50,19,31,42,0,19,25,13,11,28,30,14,27,18,23,33,48,28,48,36,19,36,54,53,46,24,30,35,48,15,53,27,15,59,49,22,52,46,58,25,39,55,48,17,55,31,33,77,82,48,70,14,12,33,18,15,13,11,30,32,21,15,20,28,28,45,17,27,10,32,36,15,21,32,10,51,59,23,15,45,27,35,32,52,31,42,29,22,18,36,27,14,45,27,32,39,33,31,29,21,18,54,25,64,26,48,6,29,27,38,19,28,29,19,16,43,17,17,11,14,33,23,32,62,25,67,52,65,33,30,75,85,34,44,48,36,19,35,54,42,47,53,57,33,17,20,20,21,28,41,24,30,33,48,15,56,27,15,59,49,17,12,23,35,50,19,43,42,0,26,13,11,28,27,14,27,18,14,12,35,73,14,49,13,43,53,56,41,43,31,9,11,34,34,25,50,24,21,45,16,39,38,49,10,21,40,35,10,31,19,15,30,28,63,70,30,54,46,64,54,70,47,15,53,23,39,54,43,16,31,53,29,48,32,13,22,17,31,36,10,12,10
sg_16,19,21,70,18,17,27,22,33,32,44,32,48,15,26,38,19,0,23,15,17,23,25,10,29,14,21,33,43,27,43,35,18,32,51,50,44,26,29,33,43,21,50,27,18,53,46,22,52,41,53,19,37,48,43,20,49,26,31,72,76,42,65,20,18,32,15,16,17,22,24,26,23,17,23,24,24,38,20,24,22,29,29,11,17,25,22,45,53,23,15,40,20,33,29,49,26,39,25,21,21,31,27,19,40,20,29,36,31,26,25,20,21,44,16,60,22,40,21,26,23,37,18,28,26,13,17,39,19,19,21,18,33,23,32,58,23,62,44,58,33,29,71,79,33,41,43,35,18,31,51,40,40,50,52,31,18,23,20,20,32,37,26,29,32,43,21,52,27,18,53,46,17,17,17,32,48,15,38,38,19,27,15,17,23,28,10,29,14,20,18,33,69,21,44,19,38,48,50,36,39,26,22,22,28,30,26,43,26,23,38,21,35,37,50,21,22,35,29,22,30,21,11,32,24,61,61,29,48,42,60,49,67,46,20,44,18,37,50,41,18,28,46,26,43,26,20,24,19,27,33,21,19,19
sg_17,31,32,57,16,24,29,25,32,31,43,32,44,27,27,35,25,23,0,21,24,15,16,20,31,29,28,24,35,31,34,28,27,34,45,42,40,19,20,23,29,29,39,19,32,49,44,22,44,41,45,23,35,42,40,29,49,15,18,67,71,41,58,27,24,26,22,17,26,30,23,28,27,28,28,29,29,37,27,27,34,28,32,24,24,25,34,39,47,26,26,37,24,28,29,42,26,28,21,25,31,30,31,29,37,24,29,30,33,26,21,25,31,43,26,59,26,39,31,27,20,34,23,28,20,25,24,38,28,28,27,16,32,28,31,52,17,58,43,54,24,21,66,73,23,38,34,28,27,33,45,38,37,42,44,31,30,31,30,30,33,36,19,20,22,29,29,42,19,32,49,44,24,30,18,32,44,27,37,35,25,22,21,24,15,20,20,31,29,27,24,25,61,31,43,31,29,46,49,34,37,28,29,30,24,26,27,34,26,28,37,24,28,34,41,34,28,34,29,34,29,28,24,31,24,43,58,30,38,38,52,47,62,43,31,42,23,35,50,37,30,29,43,20,41,25,29,27,28,30,35,34,33,31
sg_18,20,15,69,22,8,19,25,25,23,46,29,43,13,26,35,13,15,21,0,8,17,20,5,18,20,22,28,38,27,38,32,17,32,48,44,45,19,24,29,42,19,44,21,22,54,45,23,48,42,53,15,36,48,39,20,50,24,29,70,76,42,64,21,19,32,11,19,13,17,26,26,19,18,18,26,27,38,15,19,22,30,27,17,17,24,22,44,49,21,15,41,19,32,26,46,23,34,25,18,20,29,24,16,41,19,26,34,28,23,25,17,20,48,18,59,23,42,18,24,26,29,14,25,24,19,16,42,20,16,19,22,25,25,23,54,21,61,46,58,28,23,70,76,26,40,38,32,17,31,48,37,41,44,47,29,19,21,21,19,23,36,19,24,27,42,19,47,21,22,54,45,8,15,20,29,43,13,33,35,13,25,0,8,17,20,5,18,20,21,19,31,66,20,44,18,36,46,52,35,38,28,15,17,29,26,23,40,24,17,38,23,37,29,48,21,17,37,33,22,29,22,17,28,22,56,64,29,45,44,58,47,64,41,20,44,14,36,48,39,19,27,47,24,46,22,15,20,16,29,35,21,21,20
sg_19,19,14,69,19,12,22,29,23,22,47,32,45,17,31,37,11,17,24,8,0,21,22,7,19,18,21,28,41,28,42,34,20,32,48,46,43,20,23,27,45,19,48,20,21,53,44,23,47,42,54,19,35,50,43,20,52,27,29,70,75,44,63,20,20,30,14,17,10,15,28,29,18,18,16,27,24,41,13,23,20,30,32,18,20,27,20,47,52,21,16,42,24,32,27,46,26,35,26,17,20,33,24,17,42,24,27,34,29,26,26,16,20,50,22,59,22,43,17,27,29,29,14,25,26,22,21,40,19,19,20,19,23,23,22,57,21,62,47,60,28,23,69,78,27,39,42,34,20,30,48,37,42,46,53,29,20,22,19,20,22,36,20,23,26,45,19,51,20,21,53,44,12,16,24,32,45,17,38,37,11,27,8,0,21,21,7,19,18,20,20,31,68,18,46,17,39,46,51,37,38,29,13,15,31,30,23,44,24,15,41,21,40,29,47,19,16,38,32,20,29,21,18,28,25,58,66,28,48,42,58,49,64,42,19,47,18,35,50,39,20,28,50,26,44,26,15,19,19,28,35,21,20,19
