sec,sg_1,sg_2,sg_3,sg_4,sg_5,sg_5A,sg_6,sg_7,sg_8,sg_9,sg_10,sg_11,sg_12,sg_13,sg_14,sg_15,sg_16,sg_17,sg_18,sg_19,sg_20,sg_21,sg_22,sg_23,sg_24,sg_25,sg_26,sg_27,sg_28,sg_29,sg_30,sg_31,sg_32,sg_33,sg_34,sg_35,sg_36,sg_37,sg_38,sg_39,sg_40,sg_41,sg_42,sg_43,sg_44,sg_45,sg_46,sg_47,sg_48,sg_49,sg_50,sg_51,sg_52,sg_53,sg_53A,sg_54,sg_55,sg_55A,sg_56,sg_57,sg_58,sg_59,sg_60,sg_61,sg_62,sg_63,sg_64,sg_65,sg_66,sg_67,sg_68,sg_69,sg_70,sg_71,sg_72,sg_73,sg_74,sg_75,sg_76,sg_77,sg_78,sg_79,sg_80,sg_81,sg_81A,sg_81B,sg_82,sg_83,sg_84,sg_85,sg_85A,sg_85B,sg_86,sg_87,sg_88,sg_89,sg_90,sg_91,sg_92,sg_93,sg_93A,sg_93B,sg_93C,sg_93D,sg_93E,sg_93F,sg_93G,sg_93H,sg_93I,sg_93J,sg_93K,sg_93L,sg_94,sg_95,sg_96,sg_97,sg_98,sg_99,sg_100,sg_101,sg_102,sg_103,sg_104,sg_105,sg_105A,sg_106,sg_107,sg_108,sg_109,uk_1,uk_2,uk_3,uk_4,uk_5,uk_5A,uk_6,uk_6A,uk_7,uk_8,uk_9,uk_10,uk_10A,uk_10B,uk_11,uk_11A,uk_12,uk_13,uk_14,uk_15,uk_16,uk_17,uk_18,uk_19,uk_20,uk_21,uk_21A,uk_21B,uk_21C,uk_21D,uk_21E,uk_21F,uk_22,uk_23,uk_24,uk_25,uk_26,uk_27,uk_28,uk_29,uk_30,uk_31,uk_32,uk_33,uk_34,uk_35,uk_36,uk_37,uk_38,uk_39,uk_40,uk_41,uk_42,uk_43,uk_44,uk_45,uk_46,uk_47,uk_48,uk_49,uk_50,uk_51,uk_52,uk_53,uk_54,uk_55,uk_56,uk_57,uk_58,uk_59,uk_60,uk_60A,uk_62,uk_63,uk_64,uk_65,uk_66,uk_67,uk_68,uk_69,uk_70,uk_71,uk_72,uk_73,uk_74,uk_75,uk_76,uk_77,uk_78,uk_79,uk_80,uk_81,uk_82,uk_83,uk_83A,uk_84,uk_85,uk_86,uk_87,uk_88,uk_89,uk_90,uk_91,uk_92,uk_92A,uk_93,uk_94,uk_95,uk_96,uk_97,uk_98,uk_99,uk_99A,uk_100,uk_101,uk_102,uk_103,uk_104,uk_105,uk_106,uk_107,uk_108,uk_109,uk_110
sg_108,14,16,72,16,23,33,28,34,35,49,35,47,22,30,41,17,19,28,20,19,26,29,21,30,18,20,32,45,28,46,37,19,32,49,48,46,24,27,33,51,15,51,27,16,57,49,20,49,45,54,25,34,52,47,14,45,25,28,75,80,47,68,14,16,34,18,16,16,15,31,30,21,14,21,25,28,42,18,26,16,27,34,18,22,30,16,51,57,22,14,41,24,33,29,47,28,39,28,19,20,35,29,12,41,24,29,35,33,28,28,18,20,47,23,58,24,41,18,25,29,40,19,27,28,17,18,41,0,19,13,16,34,20,35,57,24,65,49,58,32,29,73,81,32,41,46,37,19,30,49,38,43,48,54,31,20,22,20,19,33,37,24,27,32,51,15,54,27,16,57,49,23,15,22,35,47,22,43,41,17,29,20,19,26,26,21,30,18,14,16,33,66,18,40,19,35,48,53,40,38,27,16,15,33,35,16,47,22,20,42,21,41,40,51,15,19,35,22,16,27,16,18,30,29,60,63,27,49,42,60,46,66,44,18,48,24,34,50,39,17,27,51,28,46,31,16,21,19,26,34,17,16,14
sg_109,20,16,71,19,19,29,24,33,33,47,33,47,17,25,38,17,19,28,16,19,28,29,17,26,19,22,35,45,27,45,36,20,35,52,48,45,27,31,36,48,15,52,28,20,53,46,21,50,41,54,22,36,49,42,19,50,27,33,72,75,43,65,19,18,35,17,19,18,18,28,30,22,17,22,28,29,39,19,23,22,29,32,16,21,29,22,46,54,23,19,39,22,31,29,48,28,41,26,21,19,30,28,19,39,22,29,37,33,28,26,20,19,49,21,60,25,44,17,23,28,37,20,27,29,16,17,41,19,0,17,19,33,24,33,58,24,60,47,59,35,31,71,80,35,39,45,36,20,33,52,40,44,48,53,27,17,22,22,16,30,38,27,31,34,48,15,55,28,20,53,46,19,17,19,33,47,17,36,38,17,21,16,19,28,29,17,26,19,19,18,34,69,18,44,17,39,49,47,37,40,28,18,18,32,32,24,44,23,21,39,21,40,37,46,20,20,37,35,22,28,21,16,30,28,61,64,31,51,45,57,51,67,45,19,48,20,36,47,40,18,28,50,29,44,26,16,20,0,28,35,21,21,20
uk_1,10,12,77,12,24,36,31,38,38,53,39,52,23,34,45,11,21,27,19,20,27,29,22,32,19,23,33,47,31,47,41,21,36,55,54,50,23,29,34,52,13,54,26,15,62,51,19,51,49,57,27,35,53,50,13,56,26,29,81,86,50,72,9,11,33,20,13,13,10,34,32,21,14,20,29,31,45,18,27,9,29,34,18,23,35,9,55,61,25,15,46,26,37,33,52,34,41,32,21,18,36,32,18,46,26,33,39,37,34,32,20,18,55,24,67,25,47,11,29,33,42,19,29,27,21,17,44,13,17,0,12,38,22,38,63,22,70,53,66,33,29,80,85,33,43,47,41,21,34,55,44,48,54,60,32,17,22,21,21,35,42,23,29,32,52,13,57,26,15,62,51,24,12,19,39,52,23,46,45,11,31,19,20,27,26,22,32,19,9,11,33,74,15,50,16,40,54,59,44,43,31,10,10,38,39,24,47,22,20,45,20,45,42,54,8,21,39,33,9,29,12,18,29,28,62,71,28,52,49,65,55,73,46,14,52,25,35,55,43,17,27,53,27,49,34,13,23,17,30,36,10,11,10
uk_2,18,17,66,0,23,33,29,34,33,48,36,48,22,30,42,14,18,16,22,19,16,18,21,32,20,21,21,36,30,36,34,20,34,52,50,45,12,18,23,40,18,47,15,18,57,46,14,40,46,48,27,29,47,46,16,52,21,22,74,80,46,67,13,13,26,19,7,19,18,30,28,19,18,21,28,27,42,18,27,19,27,30,17,22,30,19,50,54,21,17,42,27,33,29,48,31,30,27,20,20,34,28,16,42,27,29,35,33,31,27,19,20,51,24,64,23,43,18,27,27,39,19,26,22,20,18,39,16,19,12,0,34,20,33,60,15,63,48,61,21,18,70,78,22,41,36,34,20,33,52,40,42,50,55,31,19,22,20,22,30,36,12,18,21,40,18,50,15,18,57,46,23,19,15,36,48,22,41,42,14,27,22,19,16,15,21,32,20,13,13,27,68,18,46,19,35,51,55,40,39,29,17,18,33,34,21,36,22,21,42,16,37,39,45,19,19,34,29,19,28,17,17,21,22,51,64,22,41,42,58,49,66,41,19,49,25,29,52,40,18,26,48,22,43,32,18,21,19,27,32,19,19,18
uk_3,39,33,64,34,23,27,35,0,7,40,31,37,32,36,36,33,33,32,25,23,31,34,24,20,36,35,35,38,34,40,34,32,35,49,48,40,33,33,34,45,34,47,34,37,53,42,35,48,43,51,32,33,50,43,35,48,33,35,65,70,42,57,37,37,38,31,35,31,36,28,31,30,34,30,34,35,39,29,27,41,36,39,34,33,36,41,46,49,31,34,41,32,34,36,46,31,35,30,34,35,35,29,33,41,32,36,37,34,31,30,33,35,49,35,53,35,43,35,31,36,31,29,32,34,34,35,41,34,33,38,34,0,37,7,52,35,53,40,54,35,34,63,71,34,42,40,34,32,34,49,43,43,48,50,37,35,36,36,34,30,38,33,33,33,45,34,50,34,37,53,42,23,35,36,31,37,32,37,36,33,34,25,23,31,33,24,20,36,37,37,39,62,36,42,34,42,47,51,35,37,36,34,36,32,33,32,43,32,29,39,32,42,31,48,38,29,37,38,41,35,34,34,38,36,51,60,36,45,41,55,46,56,42,37,44,31,33,47,38,36,34,50,34,45,34,34,32,33,36,40,40,38,39
uk_4,21,23,71,20,24,33,28,37,36,49,34,47,25,30,41,23,23,28,25,23,26,27,25,34,22,22,32,44,29,45,38,22,35,51,50,45,24,28,33,47,23,52,25,21,57,46,25,47,44,52,26,35,52,48,23,50,27,31,74,79,46,67,20,22,33,24,19,20,22,27,28,25,19,24,29,28,38,20,27,24,28,36,22,26,30,24,51,53,23,22,44,27,32,29,48,31,39,28,21,24,34,27,22,44,27,29,36,36,31,28,20,24,48,24,63,22,42,24,26,30,36,24,26,27,22,23,40,20,24,22,20,37,0,36,57,25,65,49,61,32,28,74,82,32,42,45,38,22,33,51,42,45,50,54,32,23,26,23,26,31,34,24,28,31,47,23,55,25,21,57,46,24,22,24,34,47,25,39,41,23,30,25,23,26,25,25,34,22,20,22,34,70,20,46,22,38,47,55,38,38,27,23,22,31,35,24,44,25,24,38,24,41,36,47,23,20,35,31,24,30,24,22,32,31,55,66,30,48,45,57,53,68,48,22,50,26,35,48,40,24,30,49,27,44,30,23,24,24,27,34,24,22,21
uk_5,39,33,62,33,24,26,34,7,0,37,31,37,30,35,36,32,32,31,23,22,32,33,23,20,37,36,34,39,36,38,31,32,35,49,47,38,32,34,36,42,34,48,33,37,52,40,36,47,41,50,32,34,47,43,35,47,34,35,65,71,41,59,37,36,36,30,34,31,36,25,31,31,34,30,36,35,39,30,28,41,36,37,33,33,33,41,44,48,31,33,41,33,34,36,46,31,35,28,33,36,35,26,32,41,33,36,38,34,31,28,32,36,50,33,51,34,43,37,32,35,30,28,33,34,35,36,41,35,33,38,33,7,36,0,52,33,50,37,51,34,33,61,72,34,43,38,31,32,34,49,40,42,47,50,37,35,36,33,34,31,38,32,34,35,42,34,50,33,37,52,40,24,34,35,31,37,30,36,36,32,33,23,22,32,34,23,20,37,37,36,36,61,36,41,34,41,46,52,34,38,36,34,36,29,32,33,42,33,29,39,30,40,30,46,38,30,37,38,41,35,34,33,38,33,50,59,37,46,41,54,46,56,43,36,45,31,34,47,38,37,35,49,34,45,34,33,32,33,37,39,40,39,39
uk_5A,62,61,61,60,56,52,45,52,52,51,55,56,58,53,51,62,58,52,54,57,54,52,55,44,58,54,54,50,52,52,55,57,49,50,49,51,55,55,55,57,57,53,55,61,54,54,54,42,51,55,52,50,55,51,55,55,53,55,70,70,55,54,61,59,52,55,58,59,61,53,53,57,57,58,53,51,52,58,50,67,52,56,58,52,55,67,56,54,52,59,53,51,53,51,52,54,49,52,53,58,54,56,59,53,51,51,47,47,54,52,54,58,47,55,59,58,52,63,56,51,54,56,54,51,54,56,54,57,58,63,60,52,57,52,0,56,56,51,53,54,54,63,62,52,49,52,55,57,49,50,48,55,49,55,49,55,57,53,52,54,57,55,55,55,57,57,53,55,61,54,54,56,62,54,55,56,58,54,51,62,54,54,57,54,54,55,44,58,61,59,51,66,61,54,60,51,56,55,52,53,43,61,61,52,53,51,53,53,58,52,58,52,54,56,65,55,54,50,67,53,61,58,52,50,61,61,56,55,50,58,57,60,56,58,54,54,50,57,54,60,53,58,51,56,53,58,55,58,51,53,67,64,62
uk_6,26,25,58,15,25,30,30,35,33,44,35,46,25,30,40,25,23,17,21,21,15,17,22,30,24,23,24,32,29,33,35,24,36,49,47,46,14,19,23,38,26,45,13,27,53,46,18,41,38,43,27,31,49,46,24,49,18,21,71,76,45,63,21,21,32,23,19,21,25,29,28,25,26,24,31,28,37,23,28,29,28,33,25,25,27,29,47,51,26,22,39,26,33,29,46,27,28,24,23,25,34,29,24,39,26,29,35,33,27,24,24,25,48,26,61,21,41,29,28,29,37,23,27,20,28,27,38,24,24,22,15,35,25,33,56,0,60,44,60,24,17,69,76,23,40,33,35,24,35,49,30,40,47,52,30,24,27,26,27,32,37,14,19,21,38,26,48,13,27,53,46,25,24,19,35,46,25,41,40,25,30,21,21,15,16,22,30,24,21,21,15,64,26,46,25,32,47,51,38,36,28,24,25,32,30,25,36,26,24,37,24,38,37,48,28,24,33,29,29,29,26,25,29,26,49,61,24,41,43,54,49,65,43,24,45,27,31,51,39,26,29,48,20,42,28,23,22,24,29,36,29,27,26
uk_6A,70,67,61,63,61,58,58,53,50,34,59,59,61,47,58,67,62,58,61,62,60,58,60,61,64,63,59,58,58,58,59,63,61,58,62,55,59,61,60,54,66,60,58,65,51,58,63,60,53,59,57,59,61,56,65,58,61,62,65,66,58,63,68,66,58,64,64,67,69,57,61,66,67,66,57,59,58,67,60,74,62,60,61,62,60,74,56,59,62,65,54,58,61,58,59,59,58,58,61,67,56,59,64,54,58,58,60,56,59,58,62,67,55,60,58,63,58,69,62,57,59,64,55,56,61,63,61,65,60,70,63,53,65,50,56,60,0,34,53,59,60,61,69,59,52,58,59,63,61,58,56,62,62,59,52,63,60,60,60,59,58,59,61,60,54,66,60,58,65,51,58,61,67,61,59,59,61,41,58,67,57,61,62,60,61,60,61,64,68,66,54,65,67,59,65,60,58,60,56,58,56,68,69,57,59,58,56,63,65,58,64,55,59,51,72,64,60,59,74,60,66,61,58,55,64,61,60,60,58,61,58,63,61,65,60,59,59,52,62,66,63,56,56,61,61,63,60,60,63,60,73,70,70
uk_7,53,52,58,48,47,44,43,40,37,0,46,48,47,45,48,52,44,43,46,47,47,45,45,46,47,43,47,46,43,46,47,48,46,49,52,44,45,48,46,48,50,47,44,48,48,49,48,47,41,49,43,43,48,48,48,52,47,46,62,65,46,53,50,49,41,48,48,50,52,43,45,49,49,50,42,42,43,50,45,57,46,46,46,44,47,57,48,51,47,47,42,42,46,42,48,46,45,45,47,48,43,45,47,42,42,42,44,42,46,45,47,48,50,45,55,47,45,52,47,43,43,46,42,43,46,46,46,49,47,53,48,40,49,37,51,44,34,0,43,47,47,64,65,45,47,46,47,48,46,49,43,47,52,48,47,51,50,47,50,50,47,45,48,46,48,50,48,44,48,48,49,47,52,45,46,48,47,46,48,52,46,46,47,47,47,45,46,47,50,49,45,63,51,47,49,46,49,50,43,43,46,52,52,44,45,43,48,46,49,43,46,47,43,49,52,49,47,43,57,45,48,46,47,44,57,60,44,48,43,55,50,61,50,51,53,43,43,53,44,51,44,48,43,47,46,47,45,47,45,44,56,52,53
uk_8,66,63,67,61,60,58,58,54,51,43,55,55,60,41,56,65,58,54,58,60,56,58,58,58,62,61,57,57,58,55,56,61,55,54,55,47,56,57,59,55,60,52,58,63,56,54,60,54,57,54,59,53,58,55,62,52,55,54,68,70,55,60,64,61,56,59,61,63,65,56,59,59,62,62,57,55,57,62,56,71,58,57,60,58,56,71,57,58,53,62,52,58,56,53,53,58,58,55,60,65,56,56,59,52,58,53,52,53,58,55,59,65,49,62,49,61,49,67,57,55,56,59,59,60,60,61,57,58,59,66,61,54,61,51,53,60,53,43,0,57,57,67,69,57,51,55,56,61,56,54,56,55,55,56,54,64,60,60,61,58,59,56,57,60,55,60,52,58,63,56,54,60,64,61,55,55,60,58,56,65,55,58,60,56,56,58,58,62,64,61,61,63,62,50,60,53,59,59,56,56,58,65,65,56,57,49,55,60,61,57,61,56,56,57,67,60,54,50,71,56,61,60,56,57,59,56,55,57,48,57,55,62,54,64,59,59,53,59,53,61,59,58,60,57,58,61,58,59,54,54,70,67,66
uk_9,34,34,59,21,30,35,35,35,34,47,37,44,37,34,41,33,33,24,28,28,16,17,28,33,34,34,0,26,33,15,36,31,36,48,47,42,15,16,17,30,32,47,15,35,54,43,25,39,42,43,28,37,49,47,32,50,26,27,69,74,44,63,33,33,33,27,27,31,30,33,33,23,35,29,33,33,41,29,31,38,31,37,33,31,34,38,48,49,31,32,42,31,35,35,44,33,20,32,29,34,37,33,32,42,31,35,34,35,33,32,30,34,45,35,60,31,40,36,33,32,37,29,29,23,35,36,35,32,35,33,21,35,32,34,54,24,59,47,57,0,16,63,69,11,38,15,36,31,34,48,38,39,47,49,35,32,36,33,33,32,39,15,16,17,30,32,50,15,35,54,43,30,35,28,37,44,37,43,41,33,33,28,28,16,15,28,33,34,33,33,32,63,33,44,33,39,46,49,38,36,34,29,30,35,35,31,31,32,28,41,32,39,37,45,35,28,34,31,38,32,33,33,34,33,40,60,33,33,42,55,52,65,44,35,47,29,37,52,40,32,33,47,23,37,33,34,32,35,33,37,38,36,34
uk_10,31,29,56,18,25,33,31,34,33,47,37,46,29,31,41,30,29,21,23,23,11,11,24,29,28,24,16,19,31,26,37,28,36,46,47,41,11,11,13,31,31,43,10,32,53,44,21,38,41,40,23,35,49,44,25,49,21,21,67,73,43,61,29,28,34,26,25,26,27,32,30,28,31,26,32,31,41,27,29,34,29,35,28,26,30,34,48,48,28,27,41,24,34,30,42,30,13,30,25,28,35,25,28,41,24,30,31,34,30,30,26,28,47,27,59,28,41,33,31,33,37,24,31,20,30,30,37,29,31,29,18,34,28,33,54,17,60,47,57,16,0,66,71,12,38,26,37,28,35,46,38,37,47,50,32,30,32,30,30,28,35,11,11,11,31,31,46,10,32,53,44,25,31,24,37,46,29,40,41,30,32,23,23,11,9,24,29,28,29,28,27,64,30,43,30,35,43,48,39,34,29,26,27,34,33,28,26,32,25,41,30,41,37,48,33,27,35,31,34,30,31,28,31,31,42,61,29,33,41,51,50,64,43,32,42,24,35,49,38,28,31,49,20,41,31,30,25,31,29,36,34,31,31
uk_10A,76,75,67,70,67,62,72,63,61,64,62,58,70,71,62,75,71,66,70,69,68,69,67,65,75,69,63,62,66,65,60,71,68,63,65,63,67,67,67,62,74,69,66,77,62,63,68,66,65,64,72,65,64,63,74,64,70,70,70,71,67,65,78,76,67,73,71,77,77,68,68,73,75,72,67,68,66,74,69,83,70,70,71,70,68,83,68,67,68,75,66,69,68,67,64,63,61,67,72,74,67,64,70,66,69,67,69,63,63,67,72,74,67,73,64,73,67,77,70,66,63,73,66,66,71,73,67,73,71,80,70,63,74,61,63,69,61,64,67,63,66,0,68,65,61,65,60,71,69,63,64,67,65,66,63,71,67,69,71,61,67,67,67,68,62,74,69,66,77,62,63,67,75,74,62,58,70,65,62,75,67,70,69,68,67,67,65,75,78,76,65,62,74,64,73,69,69,69,65,66,67,76,77,68,57,68,66,70,71,66,71,65,63,65,79,71,66,66,83,70,73,71,64,66,65,64,67,62,65,62,59,64,65,73,63,73,65,66,66,73,71,67,66,66,64,73,70,71,69,66,82,79,76
uk_10B,87,84,72,78,75,70,78,71,72,65,72,71,80,75,66,85,79,73,76,78,70,71,76,73,83,79,69,71,76,64,73,78,74,72,73,73,71,71,69,68,82,64,71,86,70,72,78,65,73,73,75,71,65,72,80,73,71,72,76,77,69,70,85,84,69,81,80,84,84,72,71,78,83,78,76,73,74,80,76,92,79,66,79,78,75,92,70,72,78,82,72,77,75,74,69,74,69,75,81,83,74,76,79,72,77,74,73,70,74,75,81,83,71,77,68,79,67,87,75,73,69,79,75,76,80,80,74,81,80,85,78,71,82,72,62,76,69,65,69,69,71,68,0,66,65,64,73,78,75,72,74,72,73,68,70,78,77,77,77,73,76,71,71,69,68,82,62,71,86,70,72,75,85,77,72,71,80,69,66,85,79,76,78,70,72,76,73,83,85,84,72,73,83,72,80,66,73,70,67,70,74,83,84,70,73,75,66,77,77,74,79,69,69,70,89,79,71,71,92,78,76,79,67,66,67,73,69,62,66,72,70,72,62,80,74,78,71,76,73,84,76,64,76,74,75,83,77,80,73,72,91,86,87
uk_11,35,34,58,22,28,30,33,34,34,45,35,42,34,33,39,34,33,23,26,27,15,16,28,30,30,29,11,23,31,24,34,30,37,45,45,40,14,14,14,26,33,46,12,35,52,44,24,39,40,41,26,37,48,41,32,47,24,22,67,72,41,60,31,32,35,30,28,30,31,31,32,27,35,28,32,34,38,29,27,38,31,37,33,31,33,38,47,46,29,31,40,31,35,34,41,32,16,30,27,33,32,32,32,40,31,34,30,33,32,30,28,33,44,32,59,31,39,37,32,34,33,27,29,24,32,33,40,32,35,33,22,34,32,34,52,23,59,45,57,11,12,65,66,0,36,24,34,30,35,45,38,38,45,45,34,32,34,34,34,33,38,14,14,13,26,33,49,12,35,52,44,28,34,26,35,42,34,39,39,34,34,26,27,15,14,28,30,30,31,32,30,62,34,43,34,37,43,48,37,33,31,30,31,33,34,31,27,31,27,38,33,39,33,45,36,29,36,30,38,32,34,33,34,35,40,60,32,32,41,54,48,63,44,35,44,27,37,51,39,32,32,50,24,42,32,34,30,35,32,35,38,35,35
uk_11A,46,43,69,41,42,41,39,42,43,47,42,50,42,33,40,44,41,38,40,39,39,39,41,39,40,38,38,36,34,45,42,35,39,48,47,30,38,39,40,48,40,53,39,40,53,42,39,51,44,53,39,39,50,43,39,48,40,40,63,70,43,59,43,42,41,42,42,42,44,40,38,40,43,38,36,36,39,40,37,47,38,42,40,42,42,47,51,54,37,41,40,39,42,40,45,40,38,41,39,39,37,39,40,40,39,40,38,30,40,41,39,39,47,41,60,41,41,45,41,40,43,41,39,39,39,40,43,41,39,43,41,42,42,43,49,40,52,47,51,38,38,61,65,36,0,45,42,35,40,48,45,47,47,54,17,38,37,35,38,35,43,38,39,40,48,40,56,39,40,53,42,42,41,39,42,50,42,45,40,44,38,40,39,39,39,41,39,40,43,42,35,65,41,43,40,43,46,50,41,41,38,44,44,41,42,40,45,38,37,39,42,45,43,43,45,39,40,40,47,38,41,40,36,36,57,62,39,47,45,56,53,60,46,38,50,41,39,45,42,41,41,44,39,46,42,38,35,39,36,42,47,41,46
uk_12,47,47,55,36,39,36,41,40,38,46,44,47,43,44,47,48,43,34,38,42,26,27,39,40,44,45,15,27,43,0,45,40,45,50,49,46,27,27,26,26,44,44,26,44,49,45,37,49,48,41,35,40,45,48,43,50,35,38,66,71,44,61,47,44,42,39,41,44,44,38,36,36,45,40,46,43,38,41,39,52,40,43,45,43,39,52,46,48,41,44,45,41,39,41,44,40,24,35,42,46,44,42,45,45,41,41,40,40,40,35,43,46,50,41,59,41,44,49,42,42,39,38,39,34,42,45,47,46,45,47,36,40,45,38,52,33,58,46,55,15,26,65,64,24,45,0,45,40,45,50,42,42,49,46,41,45,48,46,45,41,45,27,27,27,26,44,47,26,44,49,45,39,46,36,44,47,43,44,47,48,44,38,42,26,27,39,40,44,47,44,39,61,47,48,45,39,47,47,43,44,41,43,44,40,40,43,29,45,39,38,44,44,39,51,49,39,40,42,52,40,46,45,44,41,38,59,42,37,45,56,52,62,47,48,48,36,40,52,43,45,42,48,34,48,40,46,44,45,43,43,50,50,47
uk_13,41,37,66,34,32,30,36,34,31,47,34,41,33,36,35,36,35,28,32,34,34,35,31,34,40,38,36,45,37,45,0,38,39,50,48,44,38,39,40,40,39,47,38,41,50,47,39,50,41,48,35,40,45,41,41,49,35,37,64,68,38,60,39,37,32,35,35,40,42,31,35,38,39,39,36,35,40,40,35,45,38,37,37,36,36,45,42,52,37,39,43,35,37,37,42,32,41,34,37,38,35,34,34,43,35,37,41,34,32,34,38,38,46,36,53,38,44,39,35,29,33,35,37,39,39,37,43,37,36,41,34,34,38,31,55,35,59,47,56,36,37,60,73,34,42,45,0,38,39,50,39,40,48,48,40,38,39,41,40,40,42,38,39,39,40,39,50,38,41,50,47,32,40,36,34,41,33,36,35,36,27,32,34,34,39,31,34,40,39,37,41,60,40,47,38,40,49,51,31,40,37,42,42,34,30,37,44,37,38,40,33,30,33,42,43,39,40,38,45,38,39,37,40,34,49,60,39,48,41,56,47,59,45,40,45,36,40,48,42,39,38,46,39,47,34,38,38,36,40,40,45,42,41
uk_14,19,19,71,20,17,29,26,32,32,48,34,46,19,26,40,19,18,27,17,20,23,25,18,28,18,19,31,36,15,40,38,0,34,49,47,40,23,29,32,44,19,45,25,20,49,44,22,53,40,53,22,36,50,45,20,51,25,32,70,77,41,63,21,19,35,20,21,19,19,26,27,23,18,21,26,27,38,19,26,21,29,31,17,22,28,21,44,53,25,16,38,21,33,30,49,26,26,26,21,21,33,23,17,38,21,30,38,25,26,26,21,21,50,21,62,23,43,20,23,26,39,20,24,26,18,20,43,19,20,21,20,32,22,32,57,24,63,48,61,31,28,71,78,30,35,40,38,0,32,49,38,42,47,48,25,15,23,20,23,32,35,23,29,30,44,19,48,25,20,49,44,17,16,22,34,46,19,37,40,19,30,17,20,23,26,18,28,18,21,19,33,69,21,45,19,37,46,52,35,35,28,20,19,29,31,25,43,23,21,38,20,37,39,47,19,20,36,34,21,29,22,17,34,29,58,61,31,47,44,61,52,66,45,19,46,21,36,49,40,21,28,46,26,46,25,14,22,20,29,34,19,16,19
uk_15,36,33,69,33,33,34,34,34,34,46,32,46,32,33,38,35,31,33,31,30,32,35,30,29,32,32,34,45,30,45,39,32,3,40,45,38,32,35,37,46,33,49,33,34,50,44,33,46,39,50,33,39,50,40,32,48,34,35,67,72,42,59,35,34,34,33,32,31,34,33,32,33,33,33,32,32,36,33,31,37,31,38,31,29,34,37,43,48,30,32,42,33,29,33,46,32,37,31,32,34,33,31,32,42,33,33,35,32,32,31,32,34,47,34,54,32,41,34,32,36,36,30,32,27,28,32,40,30,33,34,33,34,33,34,49,35,61,46,56,34,35,69,75,35,40,45,39,32,0,40,43,40,45,50,31,35,33,32,34,36,38,32,35,34,46,33,52,33,34,50,44,33,30,33,32,46,32,43,38,35,36,31,30,32,32,30,29,32,35,34,36,65,33,43,30,41,42,50,37,40,36,34,34,33,35,25,47,32,33,36,33,42,36,47,35,33,38,32,37,32,32,31,35,36,55,56,34,47,39,57,49,62,39,34,48,33,39,47,39,29,31,49,27,44,36,32,30,33,36,34,38,35,36
uk_16,55,55,55,52,50,47,44,49,49,49,45,50,51,51,50,54,51,45,48,48,46,47,47,45,52,50,48,44,48,50,50,49,42,0,14,46,47,45,48,50,52,50,47,54,54,43,48,50,45,51,47,46,55,45,50,46,47,46,65,70,53,63,54,51,46,51,48,52,53,49,50,51,51,51,49,47,46,51,48,60,49,50,51,48,49,60,52,52,48,51,49,48,51,44,42,48,45,49,49,53,48,48,51,49,48,44,41,43,48,49,50,53,46,51,54,49,44,57,49,49,48,49,49,45,50,51,47,49,52,55,52,49,51,49,50,49,58,49,54,48,46,63,72,45,48,50,50,49,40,0,21,47,14,53,47,55,52,54,54,49,47,47,45,48,50,52,51,47,54,54,43,50,53,49,45,50,51,50,50,54,51,48,48,46,44,47,45,52,54,51,48,62,52,43,52,45,47,50,52,46,47,52,53,48,47,47,49,51,50,46,51,49,48,51,57,51,46,41,60,49,51,51,45,49,55,59,47,50,45,57,48,60,48,55,52,48,46,54,50,52,48,50,45,47,49,50,47,52,50,49,60,57,55
uk_17,43,44,37,40,39,37,33,43,40,43,38,44,38,40,41,42,40,38,37,37,37,39,38,37,42,40,38,37,38,42,39,38,43,21,19,48,36,39,40,46,42,48,35,45,52,42,38,44,38,44,38,37,50,39,40,46,39,39,65,68,45,61,44,40,38,40,39,40,43,37,40,42,42,41,38,38,41,41,39,48,39,42,39,39,38,48,45,49,40,41,42,39,44,39,44,40,34,37,40,41,39,41,40,42,39,39,43,39,40,37,41,41,43,38,54,37,42,46,39,41,40,39,38,35,40,40,45,38,40,44,40,43,42,40,48,30,56,43,56,38,38,64,74,38,45,42,39,38,43,21,0,42,19,50,37,43,42,45,43,41,43,36,39,40,46,42,50,35,45,52,42,39,41,37,38,44,38,42,41,42,39,37,37,37,38,38,37,42,44,40,30,65,42,44,43,36,46,44,44,41,36,42,43,40,38,40,45,41,41,41,39,43,40,47,47,41,38,37,48,39,41,39,41,39,56,61,37,45,43,48,50,60,47,42,49,39,37,50,42,43,39,49,35,48,39,38,37,40,41,41,48,46,43
